description,image,lettre,nom
"The lovers' refuge, Café Gem. There, the college student Kouta fell in love at first sight with the regular customer, Nanjyou. Due to unexpected events, he becomes a freeloader in Nanjyou's house, and...",https://cdn.myanimelist.net/r/50x70/images/manga/1/6090.jpg?s=1e3041ca3774bb671f17cb41617a881d,C,Café kara Hajimaru Love Life
"""Irasshai!"" Welcome to the most unruly cafe in Kichijouji and its charming staff of five who have absolutely nothing in common. When tempers rise, so do mop handles, giant boulders and repair bills. M...",https://cdn.myanimelist.net/r/50x70/images/manga/1/750.jpg?s=11601d026dbd22cdd7802224c31cd7ad,C,Café Kichijouji de
"In a corner of Kichijouji, there's a small café where five good-looking young men work... but there's no end to the trouble they cause! Glasses-wearing clean freak Tarou; the womanizing Maki; the ever...",https://cdn.myanimelist.net/r/50x70/images/manga/1/57633.jpg?s=c01c3142d3da07a9e3586e46761431aa,C,Café Kichijouji de - Niban Senji
"A bookstore employee, Serizawa—a short, comical, and adorable young man—spots Keito—an immensely tall and intense-eyed man—in the store. It was a love at first sight for Serizawa! However, Serizawa re...",https://cdn.myanimelist.net/r/50x70/images/manga/3/23862.jpg?s=4a397eeebeb3b2228a5fe93f72c411f4,C,Café Latte Rhapsody
"Three years after being separated from his brother, Ouya came back to work with him in his coffee shop.",https://cdn.myanimelist.net/r/50x70/images/manga/1/190474.jpg?s=0dea1371364d50abc8f0e25f990e9dd5,C,Café Men!
"Virtual reality? Nope, it's a café! When the restaurant owned by Inui Yasamoto's big brother runs into financial difficulty, their ex-host regular Ookami comes up with the solution: an all-male versio...",https://cdn.myanimelist.net/r/50x70/images/manga/1/16923.jpg?s=67efcbbb788b73c6a5b110a21c9a6562,C,Café Relish ni Oide
,https://cdn.myanimelist.net/r/50x70/images/manga/3/162954.jpg?s=4d953f78bb288675691aed6b6af3607d,C,Café to Ore no Senpai
Taemuk han is a 39-year-old Barista who opens his own coffee shop. He likes being free and finds it hard to get the right woman. Yeoun Sun is a 28-year-old woman who wants to be a Designer and wants t...,https://cdn.myanimelist.net/r/50x70/images/manga/5/102051.jpg?s=5bc5abd115083b49c3607756473e4797,C,Café Velomano
"The troubles of Kazuno, proprietor of the Japanese-style café ""An"", are thus: There aren't enough customers, the coffee she makes is really horrible, and… she's getting stalker-ish marriage proposals...",https://cdn.myanimelist.net/r/50x70/images/manga/3/104837.jpg?s=c7e82abbe5218364b623524eb81fc2b4,C,Café-Café
"This story takes place thousands of years ago, in an era before modern civilizations. Our protagonist Sakina decides to venture forth to find the rumored Smoke Mountain, a village ran by a female chie...",https://cdn.myanimelist.net/r/50x70/images/manga/3/106233.jpg?s=fddcb22f844804951235cf685b299036,E,Earth Girls
"It's present day, and Archangel Michael is fed up with the pathetic development of the human species. The angels, in their world high above ours, have been given the choice between destroying or prese...",https://cdn.myanimelist.net/r/50x70/images/manga/3/257643.jpg?s=1396f92fe119701dfbe68e137c73fc51,E,Earthian
,https://cdn.myanimelist.net/r/50x70/images/manga/1/132797.jpg?s=ad48744298b4dd301f17c1a03cc1c0aa,E,Earthlight Wars: Warenu Shoujo to Semi no Ou
"The first two stories, which give the name to the volume (Eastern Eastern 1 and 2), tell the tale of the historic moment in which Japan became ...""occidental,"" through the eyes of a young boy who cher...",https://cdn.myanimelist.net/r/50x70/images/manga/1/56341.jpg?s=2d3aab9137c0c867bba0c7992071fcd6,E,Eastern Eastern
"Monica has finally gotten her dream job as a reporter. However her boss is the devil and the company feels like hell—working life is indeed different! For her first assignment, she has to disguise as...",https://cdn.myanimelist.net/r/50x70/images/manga/3/152291.jpg?s=0c42a10216863d5191620673c9977698,E,Easy Writer
A tale about a prim and proper teacher losing control of a desire he's pushed down into the depths of his soul.,https://cdn.myanimelist.net/r/50x70/images/manga/3/265835.jpg?s=bf328788a491646b5c88cb72e7962c14,E,Eat
,https://cdn.myanimelist.net/r/50x70/images/manga/3/94349.jpg?s=d15988e90284ec4800dd87c99db49138,E,Eat Me!
"Bolt Crank travels the world as the World's Greatest Mercenary. He got that moniker due to his skills, as well as his ability to eat anything, and then reproduce it in his right hand. During his adven...",https://cdn.myanimelist.net/r/50x70/images/manga/2/173371.jpg?s=0cd39b3f4edcc58eda573de378315ac0,E,Eat-Man
"Yoshitomi Akihito revisits the Eat-Man universe 11 years after its last publication. This time a vast amount of time have passed since the previous installment, and the civilizations he visited in the...",https://cdn.myanimelist.net/r/50x70/images/manga/2/219707.jpg?s=2c430a3c72266cf97a6c63b991d67e57,E,Eat-Man: The Main Dish
"Aliens are taking possession of humans so they can fight their war. In Space, the Columbia shuttle is attacked by one of them and comes crashing to earth. Thus the story takes place depicting the stru...",https://cdn.myanimelist.net/r/50x70/images/manga/2/203394.jpg?s=73985c18646cb6d95592b538575f4b0f,E,Eater
A university student training to be a veterinarian finds everyday life put into jeopardy when a mysterious group unleashes rabid animals into the city.,https://cdn.myanimelist.net/r/50x70/images/manga/2/197324.jpg?s=ff3dbe4094d88ed4f7c205b380cb3b20,E,Eaters Fang
"Yuuki's got the hots for Shirahama. All he's got to do is confess his undying love for her. The only problem is: he just can't do it! Every time he tries to tell her how he feels, he ends up chickenin...",https://cdn.myanimelist.net/r/50x70/images/manga/2/153555.jpg?s=bd80ea95ed471e838bc5c7af813f6d81,E,E→Robot
,https://cdn.myanimelist.net/r/50x70/images/manga/3/44823.jpg?s=a7444a388b027ec5c916f67862b59271,E,Eb★Star
,https://cdn.myanimelist.net/r/50x70/images/manga/3/203263.jpg?s=0196b4c716055e4ef8450ffcbf7be79c,E,Ebigawa-chou no Youkai Café
,https://cdn.myanimelist.net/r/50x70/images/manga/1/272096.jpg?s=277cf002702528d4067b404b87034889,E,Ebihara-san Chi wa Kyou mo Taihen!
,https://cdn.myanimelist.net/r/50x70/images/manga/1/272098.jpg?s=07b7954b2a68ce4bc86d39498c17de2e,E,Ebihara-san Chi wa Kyou mo Taihen! - The Second Part
"Taira works part-time at a convenience store with his senior, Ebihara. Taira just can’t get along with Ebihara. He’s a blunt, yet good-looking guy who effortlessly attracts lots of attention from many...",https://cdn.myanimelist.net/r/50x70/images/manga/1/48445.jpg?s=0f4b0f97b4d04ec6bbc2555770a4235a,E,Ebihara-san no Iutoori
"When Masachika Ebisu arrives to stay for the first time in a dorm at a remote boarding school in the mountains, his attendant Shibazaki calls on the roommate Wataru Tamon to take care of master Masach...",https://cdn.myanimelist.net/r/50x70/images/manga/2/82156.jpg?s=51fedee883cad2e7da449162f2063673,E,Ebisu
"A long-awaited comic series which is a collaboration with the rising stars ""EBiDAN39""! A teenage prodigy… and also a dropout?! Follow the school life adventures of 6 unique and unconventional students...",https://cdn.myanimelist.net/r/50x70/images/manga/3/170926.jpg?s=153e9709ba7d891fc0a37d8a3132e494,E,Ebisu Gakuen Chuutouka Nichiyou Hoshuugumi Tanteidan
,https://cdn.myanimelist.net/r/50x70/images/manga/1/168716.jpg?s=1ecd77b05b8baae9c1fd36be145b8c67,E,Ebisu Ginza Tengoku
"An office worker, Hotei, is not pleased when high-flyer Ebisu is transferred to her branch. (Source: Lililicious)",https://cdn.myanimelist.net/r/50x70/images/manga/4/34283.jpg?s=a632279945210dff58eb1053bf528555,E,Ebisu-san to Hotei-san
,https://cdn.myanimelist.net/r/50x70/images/manga/2/160214.jpg?s=75fd0b5eaa04e8485831d079ed634331,E,Ebiten: Kitan Kitan
"Noya Itsuki just started his school year at the Ebisugawa High School and since he has always had a fascination with space, he decides to join the astronomy club. However, he mistakenly walks into the...",https://cdn.myanimelist.net/r/50x70/images/manga/2/36805.jpg?s=54bccc95a8244fbba1c794eb72957984,E,Ebiten: Kouritsu Ebisugawa Koukou Tenmon-bu
"Showcasing delicious sweets and a colorful atmosphere, Café Grief Seed welcomes a variety of patrons through its doors. On a whim, Madoka Kaname and her friend Sayaka Miki visit the restaurant after s...",https://cdn.myanimelist.net/r/50x70/images/manga/2/157878.jpg?s=3fd55c20d7a59fdcca50664dd818addc,C,Café☆Griefseed e Youkoso!
" Even though Masaru is about to graduate from a technical college pretty soon he still has no job. One and only pleasure for him is to spend time at a cafe called ""Hidamari"". The cafe is owned by his...",https://cdn.myanimelist.net/r/50x70/images/manga/2/166060.jpg?s=552b2f42e9db9dfa80a973569e4dc0e3,C,Cafe Junkie
"Cafe Midnight isn't your average cafe. It opens from dusk till dawn, the master never ages, and... it's a time slip?! There are visitors from different backgrounds and different time periods, all with...",https://cdn.myanimelist.net/r/50x70/images/manga/3/279473.jpg?s=6ea1de093884b4e279d92cf08d8d1acb,C,Cafe Midnight
,https://cdn.myanimelist.net/r/50x70/images/manga/1/59807.jpg?s=bca080b3a76c1725fc67d437bd2ab85b,C,Cafe Milk Paradise
"Taking shelter from the rain, Suh Rin goes into a little cafe called Cafe Occult. Soon after leaving the cafe, she is hit by a car, and then a strange man pulls her down an alleyway. She is saved by a...",https://cdn.myanimelist.net/r/50x70/images/manga/1/10166.jpg?s=215900f8608e7fc614aad755505bf3ac,C,Cafe Occult
"In this heartwarming series, Hana stumbles upon a special coffee shop where the spirits of the dead still linger. Each soul has a story, everyone has a final wish. By helping them, Hana finds another...",https://cdn.myanimelist.net/r/50x70/images/manga/1/265748.jpg?s=f7ef78799ef34bfbb99c255bb4d46ab0,C,Cafe Requiem
,https://cdn.myanimelist.net/r/50x70/images/manga/2/253690.jpg?s=412ebcccf6a3c9940f00ffd07cb30c51,C,Cafe Stella to Shinigami no Chou
,https://cdn.myanimelist.net/r/50x70/images/manga/2/80065.jpg?s=c13274a577f22c61a7980bcc96de02c5,C,Cafe Sweet Coco Magic
It was difficult for Yuki to have long-lasting love with anyone of her boyfriends. Now she falls in love with Shingo at first sight. He helped her nonchalantly when her separation from her boyfriend g...,https://cdn.myanimelist.net/r/50x70/images/manga/2/7632.jpg?s=8f3bbc8fc09fc8f82f231af361760c33,C,Cafe-Tic Love
,https://cdn.myanimelist.net/r/50x70/images/manga/1/31066.jpg?s=64d91d1cdfb5043c2666ce1c722fe53d,C,Cage
"When two sisters both start a job at a quiet high school, little did they know they were stepping out of the ordinary and into the perverse. It seems that the school they were assigned to is ran by a...",https://cdn.myanimelist.net/r/50x70/images/manga/1/186632.jpg?s=d294c33f2e1703a1412d6ca93fd21ea3,C,Cage
,https://cdn.myanimelist.net/r/50x70/images/manga/3/193241.jpg?s=66705fdd2d9da577015e29fa0aeb7f8f,C,Cage
"In a world where aliens and humans coexist, the virtual reality game, ""Cage,"" is all the rage. All you have to do is get into a warp machine to transport your avatar (who looks like the real you!) int...",https://cdn.myanimelist.net/r/50x70/images/manga/3/283168.jpg?s=81d03f55547ba5b90d0fe0cf86d50a3a,C,Cage: Murderous Level Up
"Tsubamegaoka Private Academy—all girls' high school located just inside the city, famous for it's large number of clubs. From the common ones to some freakishly impressive ones. It's always okay to ma...",https://cdn.myanimelist.net/r/50x70/images/manga/3/217541.jpg?s=30c25e95d076ea3d3eaa432115551761,C,Cahe Tantei-bu
"A demon kills married couples while an angel tries to stop her, but cannot. Why? (from M-U)",https://cdn.myanimelist.net/r/50x70/images/manga/3/27783.jpg?s=1e131ed0b32ca4c5ee65ccce25db371f,C,Cain
"Destined to eternally rule over man as the human incarnation of Horus, the Pharaoh's current reincarnation isn't what it used to be for Cairo. The days get so routine and just plain boring. So when hi...",https://cdn.myanimelist.net/r/50x70/images/manga/2/259785.jpg?s=10f5ac7d419e4c599df2799b84ec1633,C,Cairo
The story of how cake is the bridge between hearts young and old.,https://cdn.myanimelist.net/r/50x70/images/manga/2/119439.jpg?s=a73a08a11686d4abfdf2e35187c61244,C,Cake
"This story is about a girl who has no special talents to speak of, not even cooking, but loved sweets and cakes more than anything in the world, and could turn out terrific pancakes. Her love of cakes...",https://cdn.myanimelist.net/r/50x70/images/manga/1/262203.jpg?s=74091a212488d9c4e1fc004b5363ed0b,C,Cake Cake Cake
,https://cdn.myanimelist.net/r/50x70/images/manga/3/193545.jpg?s=1eeb6a305b0187dee6ac7bd2195e4030,C,Cake Ouji no Spécialité
,https://cdn.myanimelist.net/r/50x70/images/manga/3/277132.jpg?s=be3b20abae59460d16aec3a635564dc0,C,Cake Ouji no Spécialité
,https://cdn.myanimelist.net/r/50x70/images/manga/3/37842.jpg?s=629674f47bbbef034c231eb89fb080c8,C,Cake wo Kai ni
,https://cdn.myanimelist.net/r/50x70/images/manga/1/220228.jpg?s=0bb4ba3c9be7adcf856ed130814cc239,C,Calamity Lost
,https://cdn.myanimelist.net/r/50x70/images/manga/3/268191.jpg?s=2bb58fef39053535d939be07cb9b1b1e,C,Caland Caramel
"One day, high school student Nagakura receives a love letter. Heading to the promised tree, the one who was waiting for him is Nishioka...dressed in a sailor girl uniform! Super eccentric ""campus love...",https://cdn.myanimelist.net/r/50x70/images/manga/2/69725.jpg?s=35afd5033b2a9ebec4f4126a2b8571e8,E,Eccentric Hobby
1. Mula Moolah 2. Mula Mooolah 3. Ohiete! Shuripedia 4. Tagire! Seishun Boxing 5. Beast Limit 6. Nekketsu Otome wa Tomaranai! 7. Chiguhagu Weak Point 8. Reversible Switch 9. Cinderella Apology 10. Oku...,https://cdn.myanimelist.net/r/50x70/images/manga/1/247082.jpg?s=2ed393f12c612940cd0d9970a61959fe,E,Eccentric Love
"Ecue is a popular, beautiful cross-dressing woman and Tania is a playful queen. This is their unique and interesting royal comedy. Tales of ambition, dark plans, the secrets of royalty and ghosts. Plu...",https://cdn.myanimelist.net/r/50x70/images/manga/1/252634.jpg?s=378938d1a1e68e10f2aa0dd7c4864266,C,Calbania Monogatari
"Manga revolving around a roupeiro, a boy who works behind the scenes of the soccer team. (Source: ANN)",https://cdn.myanimelist.net/r/50x70/images/manga/2/146361.jpg?s=543335249710863defd6b42c6a144bf9,C,Calcio na Shitsuji
"Akagi Gunma is a young, impetuous, and rash teenager who decides to move to the big city to fulfill his dream of racing a Formula One car. The story follows how this simple farmer boy from the country...",https://cdn.myanimelist.net/r/50x70/images/manga/1/204736.jpg?s=83eb7de67bf8b207f0f313bd9a988439,F,F
"Since childhood, Remi Mochizuki has known that Sora Kitagami bears an extraordinary power: through physical touch, he experiences the thoughts and history of people and their possessions. Rather than...",https://cdn.myanimelist.net/r/50x70/images/manga/1/92457.jpg?s=af017b8502e750b3111bb621c9951e87,F,F no Meikyuu
"In the 19th century, a British man journeys to China in order to seek the perfect leaves for tea. (Source: MU)",https://cdn.myanimelist.net/r/50x70/images/manga/3/251404.jpg?s=4cbb5b460a571578b691acd742a69d75,F,F no Mitsumei
"A biographical manga depicting the success of brazilian F1 driver Ayrton Senna in the 1991 F1 scenario. It covers his first time in the McLaren team, along with some great racing moments, like his dra...",https://cdn.myanimelist.net/r/50x70/images/manga/3/260322.jpg?s=a70d3a9b16a2006f12d0d94a22192482,F,F no Senkou: Ayrton Senna no Chousen!!
1. F no Yuuwaku 2. Kisei Musume 3. Futanari wa Suteki? 4. Futanaru 5. Onee-sama wa Milk ga Osuki 6. Secret Island Orgy 7. Shoot Without Using Your Hands 8. Zoushoku Futanari-san 9. Futa Gourmet 10. Se...,https://cdn.myanimelist.net/r/50x70/images/manga/1/108635.jpg?s=68ea036c0c323ca077bdf96d731ffb5e,F,F no Yuuwaku
"In a world where destiny decides the ability one awakens, Gangrim Seo is born with the worst destiny. He awakened as a hunter, but he was the very bottom of the bottom. One day, he is ambushed... [Pow...",https://cdn.myanimelist.net/r/50x70/images/manga/2/281202.jpg?s=28b80695403dbd0b566a35dab1d69571,F,F-Class Destiny Hunter
,https://cdn.myanimelist.net/r/50x70/images/manga/2/179397.jpg?s=a73958c3972a2369e72df5ef7ff561b9,F,F-Cup no JC Imouto ga H na Itazura wo Shitekimasu.
"Fuji's high school kendo team has an embarrassing losing streak, but things start to turn around as they suddenly begin winning most of their matches and even qualify for nationals. The secret is the...",https://cdn.myanimelist.net/r/50x70/images/manga/3/220781.jpg?s=e89afa5606c3492da53556f4ef3c7e72,F,F-Ken
1. In Deep 2. Second Watch 3. Desk Work 4. Matroska 5. Gift 6. Kitakaze to Taiyou 7. Baby-Shit (Their Naptimes Special Surprise) 8. Room Mate,https://cdn.myanimelist.net/r/50x70/images/manga/1/49801.jpg?s=5b2c908b3e93ae6bfc826321e6154dd4,F,f-mode
A 4-koma about a mermaid who arrives in the land of men in hope of finding romance....between males of the human race.,https://cdn.myanimelist.net/r/50x70/images/manga/1/188253.jpg?s=3e7c7ca99f104fe358fbbcbbd1f7db29,F,f-Ningyo
"The story takes place at the renowned private school ""Nanahoshi""—also known as the school of the survival of the fittest. The school is famous for its incredibly skilled students and its nationally ac...",https://cdn.myanimelist.net/r/50x70/images/manga/1/196496.jpg?s=3115b7ea8d8e227def51859a8f1b2368,F,F-Rank no Boukun
What would you do if you could make all your dreams come true? Here's the story of a girl who is really very ordinary–until a bunch of magic gadgets suddenly blow onto her porch.,https://cdn.myanimelist.net/r/50x70/images/manga/2/158053.jpg?s=082d168e904f309cca5c63541b8b6e27,F,F-sensei no Pocket
"Masahiko Yanagiba lost both parents and, following his mother's will, moved to his maternal uncle's family, the Wakanaes. Although Wakanaes' hospitality was heartwarming, he soon found out why his oth...",https://cdn.myanimelist.net/r/50x70/images/manga/2/55751.jpg?s=9392a6953918b5ae27deba7e8340bb76,F,F. Compo
Tiem Sum accidently sees a cute silver fox turning into a guy. He confronts her and tells her that she has to marry him since she saw him naked. He is also looking for his lost brother while trying to...,https://cdn.myanimelist.net/r/50x70/images/manga/5/53751.jpg?s=4a241b6052cd39cd881a80d61486810e,F,F.O.X
,https://cdn.myanimelist.net/r/50x70/images/manga/3/23241.jpg?s=ffa8965c20a824c7bfe8412ab61c90bd,F,F.O.X II
A woman F.P. Ageha helps people in their problems. ,https://cdn.myanimelist.net/r/50x70/images/manga/1/49435.jpg?s=5f190895c024249d8c18abbf8c0a83f9,F,F.P. Ageha
4. Super Marao Bros.,https://cdn.myanimelist.net/r/50x70/images/manga/2/95013.jpg?s=7e5aecdd52e66e5bf726f805930ba1fc,F,F.S ISM
,https://cdn.myanimelist.net/r/50x70/images/manga/1/136717.jpg?s=c07d1913aa5d22e432d1f01c9157e87f,F,Fabric Motion
"It's a mysterious and haunting series about a man who is tossed about in time and space, never knowing who he is or why he's fated to be a perpetual voyager. His name is Facade, and he shares his body...",https://cdn.myanimelist.net/r/50x70/images/manga/1/154379.jpg?s=8f799905adf88b9a6b585dea1ee2d0e2,F,Facade
1-2. Face 3. Sore wa Himitsu ni Shiteokitai (Let's Keep it a Secret) 4-6. Ai wa Nai (Not Love) 7. Tengoku mo Jigoku mo Bangaihen (All of Heaven and Hell),https://cdn.myanimelist.net/r/50x70/images/manga/1/201693.jpg?s=4682b773b17b5ca0f38a25cc896ec1e2,F,Face
